code_uic,name,fret,voyageurs,code_ligne,rg_troncon,pk,ville,departement,num_departement,y_geo,x_geo
87751271,La Brillanne-Oraison,N,O,905000,1,325+402,La Brillanne,Alpes-De-Haute-Provence,04,5.892236026425313,43.92426818818077
87751321,Manosque-Gréoux-les-Bains,N,O,905000,1,339+907,Manosque,Alpes-De-Haute-Provence,04,5.793010163891369,43.822739899302086
87338590,Monte-Carlo-Country-Club,N,O,930000,1,243+480,Roquebrune-Cap-Martin,Alpes-Maritimes,06,7.449142960112422,43.75494181488861
87401323,Mouans-Sartoux,N,O,944000,1,011+856,Mouans-Sartoux,Alpes-Maritimes,06,6.974387833892344,43.6202661356587
87520299,Nice-Pont-Michel,N,O,945000,1,003+193,Nice,Alpes-Maritimes,06,7.291537541548048,43.7218224839914
87561143,Halte de Fontanil-Lycée de Drap,N,O,945000,1,011+074,Drap,Alpes-Maritimes,06,7.339017118416614,43.76417078049719
87751529,L'Ariane,N,O,945000,1,005+600,Trinite (La ),Alpes-Maritimes,06,7.30232056792475,43.734270177036535
87756007,Nice-St-Roch,O,N,945000,1,002+343,Nice,Alpes-Maritimes,06,7.286559121678756,43.715173751991884
87756056,Nice-Ville,N,O,930000,1,224+114,Nice,Alpes-Maritimes,06,7.261742357128731,43.70479288120297
87756254,Nice-St-Augustin,N,O,930000,1,218+746,Nice,Alpes-Maritimes,06,7.216446678038527,43.670674336256205
87756304,Villeneuve-Loubet-Plage,N,O,930000,1,209+235,Villeneuve-Loubet,Alpes-Maritimes,06,7.134325945371284,43.62959895644294
87756320,Cagnes-sur-Mer,N,O,930000,1,212+713,Cagnes-Sur-Mer,Alpes-Maritimes,06,7.148336597291083,43.65766293778494
87756338,Cros-de-Cagnes,N,O,930000,1,214+360,Cagnes-Sur-Mer,Alpes-Maritimes,06,7.167135261292968,43.66051083800892
87756346,St-Laurent-du-Var,N,O,930000,1,216+756,Saint-Laurent-Du-Var,Alpes-Maritimes,06,7.194463169121656,43.662271915301304
87756353,Nice-Riquier,N,O,930000,1,226+760,Nice,Alpes-Maritimes,06,7.290584478472749,43.70579078823896
87756361,Villefranche-sur-Mer,N,O,930000,1,228+731,Villefranche-Sur-Mer,Alpes-Maritimes,06,7.31422546559436,43.70695905884717
87756379,Beaulieu-sur-Mer,N,O,930000,1,230+722,Beaulieu-Sur-Mer,Alpes-Maritimes,06,7.331806521641647,43.70668194849984
87756387,Èze,N,O,930000,1,233+537,Èze,Alpes-Maritimes,06,7.357169142675404,43.72224347830295
87756395,Cap-d'Ail,N,O,930000,1,236+928,Cap-D'Ail,Alpes-Maritimes,06,7.394093476592502,43.72061321511636
87756460,Cap-Martin-Roquebrune,N,O,930000,1,244+487,Roquebrune-Cap-Martin,Alpes-Maritimes,06,7.456405684962863,43.76034857039875
87756478,Carnolès,N,O,930000,1,246+892,Roquebrune-Cap-Martin,Alpes-Maritimes,06,7.480839159210381,43.761197114922226
87756486,Menton,N,O,930000,1,248+586,Menton,Alpes-Maritimes,06,7.492432887755912,43.773815736196276
87756494,Menton-Garavan,N,O,930000,1,250+940,Menton,Alpes-Maritimes,06,7.516005489849121,43.784880281124074
87756767,La Trinité-Victor,N,O,945000,1,006+906,Trinite (La ),Alpes-Maritimes,06,7.31173826394573,43.74291187963876
87756775,Drap-Cantaron,N,O,945000,1,009+025,Cantaron,Alpes-Maritimes,06,7.316939479711958,43.75988022243699
87756783,Peillon-Ste-Thècle,N,O,945000,1,013+457,Peillon,Alpes-Maritimes,06,7.366860146547884,43.7679262437941
87756791,Peille,N,O,945000,1,016+746,Peille,Alpes-Maritimes,06,7.380069988960343,43.791936473064396
87756809,L'Escarène,N,O,945000,1,023+413,L'Escarène,Alpes-Maritimes,06,7.352028086651033,43.839631442020284
87756817,Touët-de-l'Escarène,N,O,945000,1,024+934,Touët-De-L'Escarène,Alpes-Maritimes,06,7.3646684919829,43.84703661020427
87756825,Sospel,N,O,945000,1,033+487,Sospel,Alpes-Maritimes,06,7.453890137493691,43.876482570997105
87756833,Breil-sur-Roya,N,O,945000,1,044+086,Breil-Sur-Roya,Alpes-Maritimes,06,7.514373727256736,43.94194602172789
87756858,Fontan-Saorge,N,O,946000,1,070+825,Fontan,Alpes-Maritimes,06,7.551578000989646,43.99740866361559
87756866,St-Dalmas-de-Tende,N,O,946000,1,058+128,Tende,Alpes-Maritimes,06,7.585771131238855,44.05650060863687
87756874,La Brigue,N,O,946000,1,054+484,La Brigue,Alpes-Maritimes,06,7.603034286339613,44.06252385171183
87756882,Tende,N,O,946000,1,050+443,Tende,Alpes-Maritimes,06,7.594321708601798,44.08988893464372
87756890,Viévola,N,O,946000,1,042+262,Tende,Alpes-Maritimes,06,7.563037296893532,44.11237966122452
87757005,Cannes-Marchandises,O,N,930000,1,189+622,Cannes,Alpes-Maritimes,06,6.977245954740099,43.54733946992869
87757583,Théoule-sur-Mer,N,O,930000,1,184+234,Théoule-Sur-Mer,Alpes-Maritimes,06,6.936842591444163,43.51340542778221
87757591,Mandelieu-la-Napoule,N,O,930000,1,185+503,Mandelieu-La-Napoule,Alpes-Maritimes,06,6.94150442861314,43.52396771275616
87757617,Cannes-la-Bocca,N,O,944000,1,002+727,Cannes,Alpes-Maritimes,06,6.986338060282122,43.54903243108161
87757625,Cannes,N,O,930000,1,193+132,Cannes,Alpes-Maritimes,06,7.018725988316509,43.55401070550098
87757641,Golfe-Juan-Vallauris,N,O,930000,1,199+170,Vallauris,Alpes-Maritimes,06,7.072898593539637,43.565966860204
87757666,Juan-les-Pins,N,O,930000,1,202+326,Antibes,Alpes-Maritimes,06,7.1116630547827,43.57102644650271
87757674,Antibes,O,O,930000,1,204+151,Antibes,Alpes-Maritimes,06,7.119225384209233,43.585886664132175
87757690,Biot,N,O,930000,1,207+235,Antibes,Alpes-Maritimes,06,7.12705036619729,43.61237944224629
87757724,Grasse,N,O,944000,1,019+074,Grasse,Alpes-Maritimes,06,6.927538788698524,43.65432174693225
87757732,Ranguin,N,O,944000,1,005+646,Mougins,Alpes-Maritimes,06,6.969385661888861,43.569088238569556
87757740,La Frayère,N,O,944000,1,004+373,Cannes,Alpes-Maritimes,06,6.972185860221419,43.55806008474517
87757757,Le Bosquet,N,O,944000,1,003+143,Cannes,Alpes-Maritimes,06,6.982257923482912,43.550725530415555
87734368,Luc,N,O,790000,1,599+247,Luc,Ardèche,07,3.891547451608411,44.654034043533834
87761494,St-Péray,N,O,800000,1,616+036,Saint-Péray,Ardèche,07,4.850547552231502,44.947842962255294
87761544,La Voulte-sur-Rhône,O,N,800000,1,633+960,La Voulte-Sur-Rhône,Ardèche,07,4.783697991645013,44.80585230933447
87764407,Le Pouzin,O,N,800000,1,640+765,Le Pouzin,Ardèche,07,4.750066436271399,44.751864561116314
87764449,Cruas,O,N,800000,1,652+224,Cruas,Ardèche,07,4.765580021583682,44.655900465849584
87764472,Le Teil,O,O,805000,1,665+633,Le Teil,Ardèche,07,4.686672580575165,44.553267675698564
87172007,Charleville-Mézières,O,O,205000,1,142+488,Charleville-Mezieres,Ardennes,08,4.725628702138134,49.768366315516765
87172023,Nouzonville,O,O,205000,1,149+821,Nouzonville,Ardennes,08,4.742258644137013,49.81253486383028
87172031,Joigny-sur-Meuse,N,O,205000,1,153+585,Joigny-Sur-Meuse,Ardennes,08,4.767798406916734,49.83304792527545
